ON_Off;Species*;Exp*;Trt*;Label;Water;NOTE
1;wheat;BRS264;1;RIOPA_18_irrigated;no;RIOPA_18_irrigated
1;wheat;BRS264;2;RIOPA_19_irrigated;no;RIOPA_19_irrigated
1;wheat;BRS264;3;VICO_19_irrigated;no;VICO_19_irrigated
1;wheat;BRS264;4;VICO_20_irrigated;no;VICO_20_irrigated
1;wheat;BRS264;5;VICO_20_nonirrigated;yes;VICO_20_nonirrigated
1;wheat;BRS264;6;VICO_21_irrigated;no;VICO_21_irrigated
1;wheat;BRS264;7;SAOG_20_irrigated;no;SAOG_20_irrigated
1;wheat;BRS264;8;SAOG_20_nonirrigated;yes;SAOG_20_nonirrigated
1;wheat;BRS264;9;SAOG_21_irrigated;no;SAOG_21_irrigated
1;wheat;BRS264;10;SAOG_21_nonirrigated;yes;SAOG_21_nonirrigated
1;wheat;BRS264;11;SAOG_22_nonirrigated;yes;SAOG_22_nonirrigated
1;wheat;BRS264;12;SETE_20_irrigated;no;SETE_20_irrigated
1;wheat;BRS264;13;ITUT_21_nonirrigated;yes;ITUT_21_nonirrigated
0;wheat;CC-model;1;2030;yes;BRS264_CC_2030
0;wheat;CC-model;2;2031;yes;BRS264_CC_2031
0;wheat;CC-model;3;2032;yes;BRS264_CC_2032
0;wheat;CC-model;4;2033;yes;BRS264_CC_2033
0;wheat;CC-model;5;2034;yes;BRS264_CC_2034
0;wheat;CC-model;6;2035;yes;BRS264_CC_2035
0;wheat;CC-model;7;2036;yes;BRS264_CC_2036
0;wheat;CC-model;8;2037;yes;BRS264_CC_2037
0;wheat;CC-model;9;2038;yes;BRS264_CC_2038
0;wheat;CC-model;10;2039;yes;BRS264_CC_2039
0;wheat;CC-model;11;2040;yes;BRS264_CC_2040
0;wheat;CC-model;12;2041;yes;BRS264_CC_2041
0;wheat;CC-model;13;2042;yes;BRS264_CC_2042
0;wheat;CC-model;14;2043;yes;BRS264_CC_2043
0;wheat;CC-model;15;2044;yes;BRS264_CC_2044
0;wheat;CC-model;16;2045;yes;BRS264_CC_2045
0;wheat;CC-model;17;2046;yes;BRS264_CC_2046
0;wheat;CC-model;18;2047;yes;BRS264_CC_2047
0;wheat;CC-model;19;2048;yes;BRS264_CC_2048
0;wheat;CC-model;20;2049;yes;BRS264_CC_2049
0;wheat;CC-model;21;2050;yes;BRS264_CC_2050
0;wheat;CC-model;22;2051;yes;BRS264_CC_2051
0;wheat;CC-model;23;2052;yes;BRS264_CC_2052
0;wheat;CC-model;24;2053;yes;BRS264_CC_2053
0;wheat;CC-model;25;2054;yes;BRS264_CC_2054
0;wheat;CC-model;26;2055;yes;BRS264_CC_2055
0;wheat;CC-model;27;2056;yes;BRS264_CC_2056
0;wheat;CC-model;28;2057;yes;BRS264_CC_2057
0;wheat;CC-model;29;2058;yes;BRS264_CC_2058
0;wheat;CC-model;30;2059;yes;BRS264_CC_2059
0;wheat;CC-model;31;2060;yes;BRS264_CC_2060
0;wheat;CC-model;32;2061;yes;BRS264_CC_2061
0;wheat;CC-model;33;2062;yes;BRS264_CC_2062
0;wheat;CC-model;34;2063;yes;BRS264_CC_2063
0;wheat;CC-model;35;2064;yes;BRS264_CC_2064
0;wheat;CC-model;36;2065;yes;BRS264_CC_2065
0;wheat;CC-model;37;2066;yes;BRS264_CC_2066
0;wheat;CC-model;38;2067;yes;BRS264_CC_2067
0;wheat;CC-model;39;2068;yes;BRS264_CC_2068
0;wheat;CC-model;40;2069;yes;BRS264_CC_2069
0;wheat;CC-model;41;2070;yes;BRS264_CC_2070
0;wheat;CC-model;42;2071;yes;BRS264_CC_2071
0;wheat;CC-model;43;2072;yes;BRS264_CC_2072
0;wheat;CC-model;44;2073;yes;BRS264_CC_2073
0;wheat;CC-model;45;2074;yes;BRS264_CC_2074
0;wheat;CC-model;46;2075;yes;BRS264_CC_2075
0;wheat;CC-model;47;2076;yes;BRS264_CC_2076
0;wheat;CC-model;48;2077;yes;BRS264_CC_2077
0;wheat;CC-model;49;2078;yes;BRS264_CC_2078
0;wheat;CC-model;50;2079;yes;BRS264_CC_2079
0;wheat;CC-model;51;2080;yes;BRS264_CC_2080
0;wheat;CC-model;52;2081;yes;BRS264_CC_2081
0;wheat;CC-model;53;2082;yes;BRS264_CC_2082
0;wheat;CC-model;54;2083;yes;BRS264_CC_2083
0;wheat;CC-model;55;2084;yes;BRS264_CC_2084
0;wheat;CC-model;56;2085;yes;BRS264_CC_2085
0;wheat;CC-model;57;2086;yes;BRS264_CC_2086
0;wheat;CC-model;58;2087;yes;BRS264_CC_2087
0;wheat;CC-model;59;2088;yes;BRS264_CC_2088
0;wheat;CC-model;60;2089;yes;BRS264_CC_2089
0;wheat;CC-model;61;2090;yes;BRS264_CC_2090
0;wheat;CC-model;62;2091;yes;BRS264_CC_2091
0;wheat;CC-model;63;2092;yes;BRS264_CC_2092
0;wheat;CC-model;64;2093;yes;BRS264_CC_2093
0;wheat;CC-model;65;2094;yes;BRS264_CC_2094
0;wheat;CC-model;66;2095;yes;BRS264_CC_2095
0;wheat;CC-model;67;2096;yes;BRS264_CC_2096
0;wheat;CC-model;68;2097;yes;BRS264_CC_2097
0;wheat;CC-model;69;2098;yes;BRS264_CC_2098
0;wheat;CC-model;70;2099;yes;BRS264_CC_2099
