Species*,Exp*,Trt*,Label,Weather,CO2,SowingDate,HarvestDate,SoilName*,Cultivar*,IrrigationTrt,MaxIntercept,InitialBio,InitialTT,InitialFsolar,NOTE
wheat,BRS264,1,RIOPA_18_irrigated,RIOPA_18_IR,420,18122,18255,Sandy loam1,BRS264,0,0.95,1,0,0.001,RIOPA_18_irrigated
wheat,BRS264,2,RIOPA_19_irrigated,RIOPA_19_IR,420,19122,19248,Sandy loam1,BRS264,0,0.95,1,0,0.001,RIOPA_19_irrigated
wheat,BRS264,3,VICO_19_irrigated,VICO_19_IR,420,19161,19283,Sandy loam1,BRS264,0,0.95,1,0,0.001,VICO_19_irrigated
wheat,BRS264,4,VICO_20_irrigated,VICO_20_IR,420,20162,20286,Sandy loam1,BRS264,0,0.95,1,0,0.001,VICO_20_irrigated
wheat,BRS264,5,VICO_20_nonirrigated,VICO_20_NON,420,20168,20289,Sandy loam1,BRS264,0,0.95,1,0,0.001,VICO_20_nonirrigated
wheat,BRS264,6,VICO_21_irrigated,VICO_21_IR,420,21174,21298,Sandy loam1,BRS264,0,0.95,1,0,0.001,VICO_21_irrigated
wheat,BRS264,7,SAOG_20_irrigated,SAOG_20_IR,420,20198,20315,Sandy loam1,BRS264,0,0.95,1,0,0.001,SAOG_20_irrigated
wheat,BRS264,8,SAOG_20_nonirrigated,SAOG_20_NON,420,20090,20212,Sandy loam1,BRS264,0,0.95,1,0,0.001,SAOG_20_nonirrigated
wheat,BRS264,9,SAOG_21_irrigated,SAOG_21_IR,420,21116,21245,Sandy loam1,BRS264,0,0.95,1,0,0.001,SAOG_21_irrigated
wheat,BRS264,10,SAOG_21_nonirrigated,SAOG_21_NON,420,21088,21214,Sandy loam1,BRS264,0,0.95,1,0,0.001,SAOG_21_nonirrigated
wheat,BRS264,11,SAOG_22_nonirrigated,SAOG_22_NON,420,22089,22214,Sandy loam1,BRS264,0,0.95,1,0,0.001,SAOG_22_nonirrigated
wheat,BRS264,12,SETE_20_irrigated,SELAG_20_IR,420,20198,20315,Sandy loam1,BRS264,0,0.95,1,0,0.001,SETE_20_irrigated
wheat,BRS264,13,ITUT_21_nonirrigated,ITUT_21_NON,420,21123,21237,Sandy loam1,BRS264,0,0.95,1,0,0.001,ITUT_21_nonirrigated
wheat,CC-model,1,2030,BRBS91X1,450,30121,30232,Sandy loam1,BRS264,0,0.95,1,0,0.001,BRS264_CC_2030
wheat,CC-model,2,2031,BRBS91X1,450,31121,31232,Sandy loam1,BRS264,0,0.95,1,0,0.001,BRS264_CC_2031
wheat,CC-model,3,2032,BRBS91X1,450,32121,32232,Sandy loam1,BRS264,0,0.95,1,0,0.001,BRS264_CC_2032
wheat,CC-model,4,2033,BRBS91X1,450,33121,33232,Sandy loam1,BRS264,0,0.95,1,0,0.001,BRS264_CC_2033
wheat,CC-model,5,2034,BRBS91X1,450,34121,34232,Sandy loam1,BRS264,0,0.95,1,0,0.001,BRS264_CC_2034
wheat,CC-model,6,2035,BRBS91X1,450,35121,35232,Sandy loam1,BRS264,0,0.95,1,0,0.001,BRS264_CC_2035
wheat,CC-model,7,2036,BRBS91X1,450,36121,36232,Sandy loam1,BRS264,0,0.95,1,0,0.001,BRS264_CC_2036
wheat,CC-model,8,2037,BRBS91X1,450,37121,37232,Sandy loam1,BRS264,0,0.95,1,0,0.001,BRS264_CC_2037
wheat,CC-model,9,2038,BRBS91X1,450,38121,38232,Sandy loam1,BRS264,0,0.95,1,0,0.001,BRS264_CC_2038
wheat,CC-model,10,2039,BRBS91X1,450,39121,39232,Sandy loam1,BRS264,0,0.95,1,0,0.001,BRS264_CC_2039
wheat,CC-model,11,2040,BRBS91X1,450,40121,40232,Sandy loam1,BRS264,0,0.95,1,0,0.001,BRS264_CC_2040
wheat,CC-model,12,2041,BRBS91X1,450,41121,41232,Sandy loam1,BRS264,0,0.95,1,0,0.001,BRS264_CC_2041
wheat,CC-model,13,2042,BRBS91X1,450,42121,42232,Sandy loam1,BRS264,0,0.95,1,0,0.001,BRS264_CC_2042
wheat,CC-model,14,2043,BRBS91X1,450,43121,43232,Sandy loam1,BRS264,0,0.95,1,0,0.001,BRS264_CC_2043
wheat,CC-model,15,2044,BRBS91X1,450,44121,44232,Sandy loam1,BRS264,0,0.95,1,0,0.001,BRS264_CC_2044
wheat,CC-model,16,2045,BRBS91X1,450,45121,45232,Sandy loam1,BRS264,0,0.95,1,0,0.001,BRS264_CC_2045
wheat,CC-model,17,2046,BRBS91X1,450,46121,46232,Sandy loam1,BRS264,0,0.95,1,0,0.001,BRS264_CC_2046
wheat,CC-model,18,2047,BRBS91X1,450,47121,47232,Sandy loam1,BRS264,0,0.95,1,0,0.001,BRS264_CC_2047
wheat,CC-model,19,2048,BRBS91X1,450,48121,48232,Sandy loam1,BRS264,0,0.95,1,0,0.001,BRS264_CC_2048
wheat,CC-model,20,2049,BRBS91X1,450,49121,49232,Sandy loam1,BRS264,0,0.95,1,0,0.001,BRS264_CC_2049
wheat,CC-model,21,2050,BRBS91X1,450,50121,50232,Sandy loam1,BRS264,0,0.95,1,0,0.001,BRS264_CC_2050
wheat,CC-model,22,2051,BRBS91X1,450,51121,51232,Sandy loam1,BRS264,0,0.95,1,0,0.001,BRS264_CC_2051
wheat,CC-model,23,2052,BRBS91X1,450,52121,52232,Sandy loam1,BRS264,0,0.95,1,0,0.001,BRS264_CC_2052
wheat,CC-model,24,2053,BRBS91X1,450,53121,53232,Sandy loam1,BRS264,0,0.95,1,0,0.001,BRS264_CC_2053
wheat,CC-model,25,2054,BRBS91X1,450,54121,54232,Sandy loam1,BRS264,0,0.95,1,0,0.001,BRS264_CC_2054
wheat,CC-model,26,2055,BRBS91X1,450,55121,55232,Sandy loam1,BRS264,0,0.95,1,0,0.001,BRS264_CC_2055
wheat,CC-model,27,2056,BRBS91X1,450,56121,56232,Sandy loam1,BRS264,0,0.95,1,0,0.001,BRS264_CC_2056
wheat,CC-model,28,2057,BRBS91X1,450,57121,57232,Sandy loam1,BRS264,0,0.95,1,0,0.001,BRS264_CC_2057
wheat,CC-model,29,2058,BRBS91X1,450,58121,58232,Sandy loam1,BRS264,0,0.95,1,0,0.001,BRS264_CC_2058
wheat,CC-model,30,2059,BRBS91X1,450,59131,59232,Sandy loam1,BRS264,0,0.95,1,0,0.001,BRS264_CC_2059
wheat,CC-model,31,2060,BRBS91X1,450,60121,60232,Sandy loam1,BRS264,0,0.95,1,0,0.001,BRS264_CC_2060
wheat,CC-model,32,2061,BRBS91X1,450,61121,61232,Sandy loam1,BRS264,0,0.95,1,0,0.001,BRS264_CC_2061
wheat,CC-model,33,2062,BRBS91X1,450,62121,62232,Sandy loam1,BRS264,0,0.95,1,0,0.001,BRS264_CC_2062
