Trt*,DAP,Biomass,LAI,Yield,FSolar
1,17,94,0.2,0,0.15
1,24,237,0.3,0,0.21
1,31,536,0.7,0,0.43
1,38,1234,1.8,0,0.76
1,45,1827,2.1,0,0.81
1,52,3256,3.4,78,0.93
1,59,4913,3.6,522,0.94
1,66,6605,4.7,1024,0.98
1,73,7938,5,1346,0.98
1,80,10346,6,2016,0.99
1,87,10882,4.9,2823,0.98
1,94,13650,5.2,3959,0.98
1,101,15426,5.6,4632,0.99
1,108,16078,5.1,5078,0.98
1,115,17000,5.1,5448,0.98
1,122,16535,4.7,5400,0.98
1,129,17536,4.1,6058,0.96
1,136,15939,4.8,4807,0.98
1,143,18157,3.8,6156,0.95
