Trt*,DAP,Yield,LAI,FSolar,Biomass
1,25,0,0.04,0.02371429,67
1,30,0,0.19,0.107742044,222
1,37,16,0.32,0.174693132,448
1,45,135,0.72,0.350790623,753
1,51,292,1.17,0.504406874,1600
1,58,448,1.43,0.575990747,1945
1,65,1261,2.21,0.734462711,3438
1,72,3000,3.16,0.849831908,6298
1,79,4500,3.82,0.898935869,8295
1,86,5915,2.68,0.799712211,8605
1,93,8606,2.91,0.825529569,11986
1,100,13019,3.43,0.872290867,17764
1,107,15500,2.47,0.772817132,19410
1,114,17300,1.43,0.575990747,20723
1,121,19125,0.55,0.281076267,22643
2,25,0,0,0,25
2,30,0,0.06,0.035359707,94
2,37,0,0.16,0.091535984,264
2,45,118,0.48,0.250238408,718
2,51,260,0.82,0.388597634,1122
2,58,1439,2.43,0.767298788,3515
2,65,2024,1.78,0.656304779,3736
2,72,3127,1.63,0.623937528,4551
2,79,4000,2.76,0.809098941,6482
2,86,5633,2.26,0.742310524,8016
2,93,7803,1.65,0.628423309,9571
2,100,9596,1.36,0.557803091,12086
2,107,11031,0.77,0.36997766,13103
2,114,13000,0.26,0.14444081,15038
2,121,15400,0.08,0.046866213,17669
3,40,0,0.19,0.107742044,260
3,46,8,0.39,0.208638184,490
3,54,72,1.03,0.460978597,1333
3,60,371,2.93,0.827610702,2845
3,67,1861,5.14,0.954224213,5221
3,74,3321,5.23,0.95663055,8586
3,81,5255,3.36,0.86681285,9211
3,88,6138,3.42,0.871522309,10066
3,95,8000,4.47,0.931573835,13796
3,102,10000,5.24,0.956889987,17039
3,109,12930,2.5,0.77686984,17429
3,116,15000,1.99,0.69699319,19639
3,123,16877,2.62,0.792370492,22279
3,130,16328,1.67,0.632855582,21318
4,40,0,0.1,0.058235466,179
4,46,0,0.27,0.149558795,391
4,54,69,0.63,0.314769499,828
4,60,355,1.64,0.626187147,1796
4,67,1951,3.51,0.878276111,5133
4,74,5000,5.08,0.952546263,9934
4,81,6247,3.37,0.867609581,9146
4,88,8000,6.55,0.980356327,14243
4,95,9200,3.65,0.888083251,13071
4,102,11200,2,0.698805788,15057
4,109,14000,2.23,0.737630116,18182
4,116,16171,0.39,0.208638184,19154
4,123,18686,0.25,0.139292024,21285
4,130,17761,0.21,0.118385153,20754
5,34,0,0.28,0.154646165,0
5,40,1,0.82,0.388597634,873
5,47,147,1.36,0.557803091,1430
5,55,727,1.68,0.635051854,2102
5,61,2671,2.86,0.820216153,4796
5,68,3908,2.82,0.815849146,6192
5,75,6317,3.26,0.858577017,9662
5,83,8622,3.61,0.885364758,12167
5,90,11024,3.77,0.895858008,14626
5,96,13000,5.05,0.951684362,18535
5,103,14569,3.33,0.864393775,18932
5,110,16000,2.16,0.726375897,19981
5,117,17500,2.19,0.731257068,20586
5,124,18000,1.21,0.516159514,20560
5,132,17145,0.67,0.331019254,19888
6,34,0,0.22,0.123659005,0
6,40,2,0.72,0.350790623,937
6,47,180,1.03,0.460978597,1247
6,55,1259,1.6,0.617107114,2694
6,61,2047,1.94,0.687765259,3746
6,68,4542,2.18,0.729639764,6232
6,75,5562,2.49,0.775527035,7922
6,83,8000,2.59,0.788599322,10556
6,90,8767,2.02,0.702398519,10685
6,96,12600,1.93,0.685886219,15325
6,103,14000,1.01,0.454471375,17072
6,110,15000,1.16,0.501424377,18490
6,117,14576,0.44,0.23202646,16693
6,124,13221,0.42,0.222755262,14880
6,132,10738,0.46,0.241187069,12420
7,40,0,0.19,0.107742044,260
7,46,8,0.39,0.208638184,490
7,54,72,1.03,0.460978597,1333
7,60,371,2.93,0.827610702,2845
7,67,1861,5.14,0.954224213,5221
7,74,3321,5.23,0.95663055,8586
7,81,5255,3.36,0.86681285,9211
7,88,6138,3.42,0.871522309,10066
7,95,8000,4.47,0.931573835,13796
7,102,10000,5.24,0.956889987,17039
7,109,12930,2.5,0.77686984,17429
7,116,15000,1.99,0.69699319,19639
7,123,16877,2.62,0.792370492,22279
7,130,16328,1.67,0.632855582,21318
8,40,0,0.1,0.058235466,179
8,46,0,0.27,0.149558795,391
8,54,69,0.63,0.314769499,828
8,60,355,1.64,0.626187147,1796
8,67,1951,3.51,0.878276111,5133
8,74,5000,5.08,0.952546263,9934
8,81,6247,3.37,0.867609581,9146
8,88,8000,6.55,0.980356327,14243
8,95,9200,3.65,0.888083251,13071
8,102,11200,2,0.698805788,15057
8,109,14000,2.23,0.737630116,18182
8,116,16171,0.39,0.208638184,19154
8,123,18686,0.25,0.139292024,21285
8,130,17761,0.21,0.118385153,20754
