Trt*,Date,DAP,Yield,FSolar,Biomass
1,91267,108,,0.769383703,1769
1,91283,124,,0.984426741,4192
1,91295,136,,0.990449865,5896
1,91309,150,,0.997081834,9585
1,91323,164,,0.9885114,13071
1,91330,171,,0.974390707,15013
1,91336,177,,0.974756839,17518
1,91343,184,,0.990518379,22998
1,91347,188,,0.979697272,23263
1,91352,193,,0.978037087,22248
1,91357,198,,0.971504241,23137
1,91364,205,,0.908021461,23156
1,92006,212,,0.892686412,25957
1,92010,216,,0.371487901,25518
1,92015,221,9933,0,23695
2,91267,108,,0.831294384,2170
2,91283,124,,0.978686189,4975
2,91295,136,,0.977544057,7815
2,91309,150,,0.975620191,8411
2,91323,164,,0.981489183,15202
2,91330,171,,0.958959668,14184
2,91336,177,,0.984153395,20950
2,91343,184,,0.966190045,18815
2,91347,188,,0.976098164,21876
2,91352,193,,0.946496061,21221
2,91357,198,,0.947292631,22280
2,91364,205,,0.753501655,21000
2,92006,212,,0.664052372,
2,92010,216,,0.464845613,23166
2,92015,221,9840,0,
3,91267,108,,0.870749126,2496
3,91283,124,,0.973147598,4671
3,91295,136,,0.983082387,6796
3,91309,150,,0.955842832,8818
3,91323,164,,0.908790845,11518
3,91330,171,,0.889285449,12816
3,91336,177,,0.824479599,13776
3,91343,184,,0.703645824,15258
3,91347,188,,0.707531994,
3,91352,193,,0.543241283,15029
3,91357,198,,0.356993213,
3,91364,205,,0.145466865,18353
3,92006,212,,0,16698
3,92025,231,5575,0,
4,91267,108,,0.880805659,2304
4,91283,124,,0.983473663,4577
4,91295,136,,0.979538291,6232
4,91309,150,,0.967287565,7448
4,91323,164,,0.955948682,13250
4,91330,171,,0.905956703,13416
4,91336,177,,0.737944771,14766
4,91343,184,,0.885776703,16510
4,91347,188,,0.817279936,16323
4,91352,193,,0.476281001,
4,91357,198,,0.245726315,16993
4,91364,205,,0,17723
4,92006,212,,0,20165
4,92010,216,,0,
4,92015,221,,0,
4,92025,231,6101,0,
5,91267,108,,0.81706054,2022
5,91283,124,,0.983933196,4018
5,91295,136,,0.997866518,7715
5,91309,150,,0.995779493,10875
5,91323,164,,0.98385589,15088
5,91330,171,,0.947260997,14839
5,91336,177,,0.9347024,16628
5,91343,184,,0.95018305,21059
5,91347,188,,0.927473263,20917
5,91352,193,,0.803403132,
5,91357,198,,0.644773619,20752
5,91364,205,,0.384179651,
5,92006,212,,0,
5,92010,216,,,20843
5,92015,221,,,
5,92025,231,7148,,
6,91267,108,,0.818699608,1830
6,91283,124,,0.986029398,4144
6,91295,136,,0.993822243,6822
6,91309,150,,0.990489892,8206
6,91323,164,,0.992127661,16475
6,91330,171,,0.978826397,16892
6,91336,177,,0.960196483,17015
6,91343,184,,0.947858808,
6,91347,188,,0.934584759,20560
6,91352,193,,0.911539575,18637
6,91357,198,,0.71292162,
6,91364,205,,0.555141934,21863
6,92006,212,,0.177658895,20689
6,92010,216,,0,
6,92015,221,,0,
6,92025,231,8546,0,
7,91267,108,,0.687952544,1648
7,91283,124,,0.935131945,3958
7,91295,136,,0.977368216,5698
7,91309,150,,0.944401552,8159
7,91323,164,,0.890474732,10243
7,91330,171,,0.805164565,10554
7,91336,177,,0.710500005,12667
7,91343,184,,0.613413642,13872
7,91347,188,,0.440213602,
7,91352,193,,0.29686052,14560
7,91357,198,,0.123133043,14399
7,91364,205,,0,15725
7,92025,231,4425,0,
