".id","Crop","Exp","Label","Trt","Day","DATE","Tmax","Tmin","Radiation","TT","fSolar","Biomass","dBiomass","HI","Yield","F_Temp","F_Heat","F_Water","ARID","I50B","I50A","ETO","MaturityDay"
"Daily","wheat","BRS264","RIOPA_18_irrigated",1,1,2018-05-02,27.88,12.4,21.12,0,0.001,1,0.276553728,0.34,0.34,1,1,1,0,50,280,0,2018-08-17
"Daily","wheat","BRS264","RIOPA_18_irrigated",1,2,2018-05-03,28.51,11.86,19.68,20.14,0.0657671475136127,1.277,16.9480487003963,0.34,0.434,1,1,1,0,50,280,4.56122050102592,2018-08-17
"Daily","wheat","BRS264","RIOPA_18_irrigated",1,3,2018-05-04,29.14,13.51,20.43,40.325,0.0792498181479303,18.225,21.2007997671904,0.34,6.197,1,1,1,0,50,280,8.82503252106826,2018-08-17
"Daily","wheat","BRS264","RIOPA_18_irrigated",1,4,2018-05-05,28.83,14.36,20.33,61.65,0.096179910349587,39.425,25.6039723735996,0.34,13.405,1,1,1,0,50,280,13.3416914468707,2018-08-17
"Daily","wheat","BRS264","RIOPA_18_irrigated",1,5,2018-05-06,28.32,14.99,17.99,83.245,0.116519670273648,65.029,27.4483355160584,0.34,22.11,1,1,1,0,50,280,17.8495819162484,2018-08-17
"Daily","wheat","BRS264","RIOPA_18_irrigated",1,6,2018-05-07,26.63,15.62,15.77,104.9,0.140525057533276,92.478,29.018240011746,0.34,31.443,1,1,1,0,50,280,21.8344713135375,2018-08-17
"Daily","wheat","BRS264","RIOPA_18_irrigated",1,7,2018-05-08,26.02,14.05,16.65,126.025,0.167743039342893,121.496,36.5716326652868,0.34,41.309,1,1,1,0,50,280,25.2764179810387,2018-08-17
"Daily","wheat","BRS264","RIOPA_18_irrigated",1,8,2018-05-09,25.86,15.01,15.1,146.06,0.197228308373351,158.068,38.9970540535764,0.34,53.743,1,1,1,0,50,280,28.8399175131356,2018-08-17
"Daily","wheat","BRS264","RIOPA_18_irrigated",1,9,2018-05-10,26.23,14.38,18.52,166.495,0.231068828505057,197.065,56.0361060109271,0.34,67.002,1,1,1,0,50,280,32.0902088281716,2018-08-17
"Daily","wheat","BRS264","RIOPA_18_irrigated",1,10,2018-05-11,27.19,12.87,18.67,186.8,0.26839317738012,253.101,65.6147371006162,0.34,86.054,1,1,1,0,50,280,36.0742915878012,2018-08-17
"Daily","wheat","BRS264","RIOPA_18_irrigated",1,11,2018-05-12,28.4,14.01,15.66,206.83,0.30858069578425,318.715,63.2770341246583,0.34,108.363,1,1,1,0,50,280,40.0884155074286,2018-08-17
"Daily","wheat","BRS264","RIOPA_18_irrigated",1,12,2018-05-13,27.12,16.4,15.56,228.035,0.354287375082452,381.993,72.1856502025915,0.34,129.878,1,1,1,0,50,280,43.5342437671572,2018-08-17
"Daily","wheat","BRS264","RIOPA_18_irrigated",1,13,2018-05-14,26.46,17.39,11.37,249.795,0.403803599276105,454.178,60.1196237186049,0.34,154.421,1,1,1,0,50,280,46.9705317854112,2018-08-17
"Daily","wheat","BRS264","RIOPA_18_irrigated",1,14,2018-05-15,27.15,14.7,17.46,271.72,0.455346227310598,514.298,104.104999255122,0.34,174.861,1,1,1,0,50,280,49.4814954594181,2018-08-17
"Daily","wheat","BRS264","RIOPA_18_irrigated",1,15,2018-05-16,28.08,14.41,16.27,292.645,0.504991922402767,618.403,107.586452541125,0.34,210.257,1,1,1,0,50,280,53.2881341246746,2018-08-17
"Daily","wheat","BRS264","RIOPA_18_irrigated",1,16,2018-05-17,27.68,15.61,13.42,313.89,0.554727130309907,725.989,97.4804501094453,0.34,246.836,1,1,1,0,50,280,56.8659685606742,2018-08-17
"Daily","wheat","BRS264","RIOPA_18_irrigated",1,17,2018-05-18,26.32,16.19,12.59,335.535,0.603607141896521,823.47,99.509765587919,0.34,279.98,1,1,1,0,50,280,59.830800130476,2018-08-17
"Daily","wheat","BRS264","RIOPA_18_irrigated",1,18,2018-05-19,25.56,16.48,5.87,356.79,0.648913124261352,922.979,49.8781414441045,0.34,313.813,1,1,1,0,50,280,62.5809357051397,2018-08-17
"Daily","wheat","BRS264","RIOPA_18_irrigated",1,19,2018-05-20,21.01,8.13,15.33,377.81,0.690394499567015,972.858,134.614974599028,0.34,330.772,0.971333333333333,1,1,0,50,280,63.8546637780306,2018-08-17
"Daily","wheat","BRS264","RIOPA_18_irrigated",1,20,2018-05-21,24.94,4.83,18.97,392.38,0.71695825209115,1107.473,176.727600926647,0.34,376.541,0.992333333333333,1,1,0,50,280,66.7846397557111,2018-08-17
"Daily","wheat","BRS264","RIOPA_18_irrigated",1,21,2018-05-22,26.84,7.54,18.51,407.265,0.742136244371735,1284.2,179.877011796956,0.34,436.628,1,1,1,0,50,280,70.4942148405206,2018-08-17
"Daily","wheat","BRS264","RIOPA_18_irrigated",1,22,2018-05-23,27.26,9.31,19.53,424.455,0.768700343484734,1464.077,196.582530758999,0.34,497.786,1,1,1,0,50,280,74.289234548999,2018-08-17
"Daily","wheat","BRS264","RIOPA_18_irrigated",1,23,2018-05-24,26.67,9.4,17.87,442.74,0.794022495789233,1660.66,185.798824777573,0.34,564.624,1,1,1,0,50,280,78.3732633447557,2018-08-17
"Daily","wheat","BRS264","RIOPA_18_irrigated",1,24,2018-05-25,25.65,12.98,13.97,460.775,0.816135235406187,1846.459,149.294613134244,0.34,627.796,1,1,1,0,50,280,82.0859479811001,2018-08-17
"Daily","wheat","BRS264","RIOPA_18_irrigated",1,25,2018-05-26,24.96,13.28,17.51,480.09,0.836846962833421,1995.753,191.874735315905,0.34,678.556,1,1,1,0,50,280,85.0371738249468,2018-08-17
"Daily","wheat","BRS264","RIOPA_18_irrigated",1,26,2018-05-27,25.02,13.15,17.13,499.21,0.854560949619537,2187.628,191.684064454698,0.34,743.794,1,1,1,0,50,280,88.714306839548,2018-08-17
"Daily","wheat","BRS264","RIOPA_18_irrigated",1,27,2018-05-28,24.12,11.37,17.6,518.295,0.86974198747726,2379.312,200.441990862471,0.34,808.966,1,1,1,0,50,280,92.3104713622121,2018-08-17
"Daily","wheat","BRS264","RIOPA_18_irrigated",1,28,2018-05-29,23.01,11.69,15.53,536.04,0.88185564170512,2579.754,179.330664093967,0.34,877.116,1,1,1,0,50,280,95.911419128601,2018-08-17
"Daily","wheat","BRS264","RIOPA_18_irrigated",1,29,2018-05-30,22.86,11.08,15.11,553.39,0.892047735474422,2759.085,176.497339296358,0.34,938.089,1,1,1,0,50,280,99.0532475034168,2018-08-17
"Daily","wheat","BRS264","RIOPA_18_irrigated",1,30,2018-05-31,24.66,9.74,18.04,570.36,0.90062290556698,2935.582,212.747823006799,0.34,998.098,1,1,1,0,50,280,102.088604223542,2018-08-17
"Daily","wheat","BRS264","RIOPA_18_irrigated",1,31,2018-06-01,26.61,11.28,16.89,587.56,0.90808122451161,3148.33,200.835253699675,0.34,1070.432,1,1,1,0,50,280,105.754364550416,2018-08-17
"Daily","wheat","BRS264","RIOPA_18_irrigated",1,32,2018-06-02,27.56,13.9,15.99,606.505,0.915049655279856,3349.165,191.592599035484,0.34,1138.716,1,1,1,0,50,280,109.314969441202,2018-08-17
"Daily","wheat","BRS264","RIOPA_18_irrigated",1,33,2018-06-03,27.43,15.19,16.03,627.235,0.921396184680504,3540.758,193.404037116907,0.34,1203.858,1,1,1,0,50,280,112.796076381577,2018-08-17
"Daily","wheat","BRS264","RIOPA_18_irrigated",1,34,2018-06-04,25.94,14.99,15.19,648.545,0.926751616872796,3734.162,184.334544290363,0.34,1269.615,1,1,1,0,50,280,116.315806574909,2018-08-17
