Crop,Exp,Label,Trt,SowingDate,Duration,Biomass,Yield,MaturityDay
wheat,CC-model,2030,1,2030-05-01,96,10751,3763,2030-08-05
wheat,CC-model,2039,10,2039-05-01,94,11187,3915,2039-08-03
wheat,CC-model,2031,2,2031-05-01,104,14110,4938,2031-08-13
wheat,CC-model,2032,3,2032-04-30,87,10524,3684,2032-07-26
wheat,CC-model,2033,4,2033-05-01,91,10964,3837,2033-07-31
wheat,CC-model,2034,5,2034-05-01,93,10505,3677,2034-08-02
wheat,CC-model,2035,6,2035-05-01,92,10273,3596,2035-08-01
wheat,CC-model,2036,7,2036-04-30,94,11058,3870,2036-08-02
wheat,CC-model,2037,8,2037-05-01,92,10784,3774,2037-08-01
wheat,CC-model,2038,9,2038-05-01,97,11768,4119,2038-08-06
wheat,CC-model,2040,11,2040-04-30,94,10691,3742,2040-08-02
wheat,CC-model,2041,12,2041-05-01,92,10936,3828,2041-08-01
wheat,CC-model,2042,13,2042-05-01,102,11236,3933,2042-08-11
wheat,CC-model,2043,14,2043-05-01,96,11549,4042,2043-08-05
wheat,CC-model,2044,15,2044-04-30,89,10578,3702,2044-07-28
wheat,CC-model,2045,16,2045-05-01,95,11896,4164,2045-08-04
wheat,CC-model,2046,17,2046-05-01,92,10734,3757,2046-08-01
wheat,CC-model,2047,18,2047-05-01,96,10963,3837,2047-08-05
wheat,CC-model,2048,19,2048-04-30,96,12118,4241,2048-08-04
wheat,CC-model,2049,20,2049-05-01,85,10199,3570,2049-07-25
wheat,CC-model,2050,21,2050-05-01,95,11671,4085,2050-08-04
wheat,CC-model,2051,22,2051-05-01,96,11535,4037,2051-08-05
wheat,CC-model,2052,23,2052-04-30,102,13251,4638,2052-08-10
wheat,CC-model,2053,24,2053-05-01,88,10321,3612,2053-07-28
wheat,CC-model,2054,25,2054-05-01,90,10959,3836,2054-07-30
wheat,CC-model,2055,26,2055-05-01,90,12072,4225,2055-07-30
wheat,CC-model,2056,27,2056-04-30,96,11841,4144,2056-08-04
wheat,CC-model,2057,28,2057-05-01,96,11939,4179,2057-08-05
wheat,CC-model,2058,29,2058-05-01,85,10118,3541,2058-07-25
wheat,CC-model,2059,30,2059-05-11,92,11441,4005,2059-08-11
wheat,CC-model,2060,31,2060-04-30,88,9973,3490,2060-07-27
wheat,CC-model,2061,32,2061-05-01,86,10135,3547,2061-07-26
wheat,CC-model,2062,33,2062-05-01,91,11393,3988,2062-07-31
wheat,CC-model,2063,34,2063-05-01,94,11367,3979,2063-08-03
wheat,CC-model,2064,35,2064-04-30,92,10953,3833,2064-07-31
wheat,CC-model,2065,36,2065-05-01,86,10553,3694,2065-07-26
wheat,CC-model,2066,37,2066-05-01,88,10726,3754,2066-07-28
wheat,CC-model,2067,38,2067-05-01,88,10658,3730,2067-07-28
wheat,CC-model,2068,39,2068-04-30,88,10143,3550,2068-07-27
wheat,CC-model,2069,40,2069-05-01,86,10170,3559,2069-07-26
wheat,CC-model,2070,41,2070-05-01,85,9999,3500,2070-07-25
wheat,CC-model,2071,42,2071-05-01,86,9943,3480,2071-07-26
wheat,CC-model,2072,43,2072-04-30,93,11183,3914,2072-08-01
wheat,CC-model,2073,44,2073-05-01,83,9767,3419,2073-07-23
wheat,CC-model,2074,45,2074-05-01,86,10013,3505,2074-07-26
wheat,CC-model,2075,46,2075-05-01,88,11510,4028,2075-07-28
wheat,CC-model,2076,47,2076-04-30,91,10812,3784,2076-07-30
wheat,CC-model,2077,48,2077-05-01,87,10997,3849,2077-07-27
wheat,CC-model,2078,49,2078-05-01,90,11883,4159,2078-07-30
wheat,CC-model,2079,50,2079-05-01,85,9806,3432,2079-07-25
wheat,CC-model,2080,51,2080-04-30,92,10471,3665,2080-07-31
wheat,CC-model,2081,52,2081-05-01,87,10826,3789,2081-07-27
wheat,CC-model,2082,53,2082-05-01,84,10102,3536,2082-07-24
wheat,CC-model,2083,54,2083-05-01,87,10172,3560,2083-07-27
wheat,CC-model,2084,55,2084-04-30,81,9632,3371,2084-07-20
wheat,CC-model,2085,56,2085-05-01,82,9793,3427,2085-07-22
wheat,CC-model,2086,57,2086-05-01,93,12333,4316,2086-08-02
wheat,CC-model,2087,58,2087-05-01,80,9809,3433,2087-07-20
wheat,CC-model,2088,59,2088-04-30,84,10380,3633,2088-07-23
wheat,CC-model,2089,60,2089-05-01,84,10605,3712,2089-07-24
wheat,CC-model,2090,61,2090-05-01,80,9548,3342,2090-07-20
wheat,CC-model,2091,62,2091-05-01,77,9327,3264,2091-07-17
wheat,CC-model,2092,63,2092-04-30,84,10080,3528,2092-07-23
wheat,CC-model,2093,64,2093-05-01,80,9671,3385,2093-07-20
wheat,CC-model,2094,65,2094-05-01,66,6146,2151,2094-07-06
wheat,CC-model,2095,66,2095-05-01,80,9566,3348,2095-07-20
wheat,CC-model,2096,67,2096-04-30,84,11236,3933,2096-07-23
wheat,CC-model,2097,68,2097-05-01,83,9894,3463,2097-07-23
wheat,CC-model,2098,69,2098-05-01,89,10897,3814,2098-07-29
wheat,CC-model,2099,70,2099-05-01,78,8959,3136,2099-07-18
wheat,CC-model_CO2,2030,1,2030-05-01,96,10751,3763,2030-08-05
wheat,CC-model_CO2,2039,10,2039-05-01,94,11560,4046,2039-08-03
wheat,CC-model_CO2,2040,11,2040-04-30,94,11087,3881,2040-08-02
wheat,CC-model_CO2,2041,12,2041-05-01,92,11381,3983,2041-08-01
wheat,CC-model_CO2,2042,13,2042-05-01,102,11736,4108,2042-08-11
wheat,CC-model_CO2,2043,14,2043-05-01,96,12105,4237,2043-08-05
wheat,CC-model_CO2,2044,15,2044-04-30,89,11127,3894,2044-07-28
wheat,CC-model_CO2,2045,16,2045-05-01,95,12557,4395,2045-08-04
wheat,CC-model_CO2,2046,17,2046-05-01,92,11371,3980,2046-08-01
wheat,CC-model_CO2,2047,18,2047-05-01,96,11653,4079,2047-08-05
wheat,CC-model_CO2,2048,19,2048-04-30,96,12926,4524,2048-08-04
wheat,CC-model_CO2,2031,2,2031-05-01,104,14162,4957,2031-08-13
wheat,CC-model_CO2,2049,20,2049-05-01,85,10917,3821,2049-07-25
wheat,CC-model_CO2,2050,21,2050-05-01,95,12536,4388,2050-08-04
wheat,CC-model_CO2,2051,22,2051-05-01,96,12432,4351,2051-08-05
wheat,CC-model_CO2,2052,23,2052-04-30,102,14331,5016,2052-08-10
wheat,CC-model_CO2,2053,24,2053-05-01,88,11200,3920,2053-07-28
wheat,CC-model_CO2,2054,25,2054-05-01,90,11933,4177,2054-07-30
wheat,CC-model_CO2,2055,26,2055-05-01,90,13190,4616,2055-07-30
wheat,CC-model_CO2,2056,27,2056-04-30,96,12981,4544,2056-08-04
wheat,CC-model_CO2,2057,28,2057-05-01,96,13133,4596,2057-08-05
wheat,CC-model_CO2,2058,29,2058-05-01,85,11167,3908,2058-07-25
wheat,CC-model_CO2,2032,3,2032-04-30,87,10602,3711,2032-07-26
wheat,CC-model_CO2,2059,30,2059-05-11,92,12670,4435,2059-08-11
wheat,CC-model_CO2,2060,31,2060-04-30,88,11081,3878,2060-07-27
wheat,CC-model_CO2,2061,32,2061-05-01,86,11299,3955,2061-07-26
wheat,CC-model_CO2,2062,33,2062-05-01,91,12743,4460,2062-07-31
wheat,CC-model_CO2,2063,34,2063-05-01,94,12757,4465,2063-08-03
wheat,CC-model_CO2,2064,35,2064-04-30,92,12332,4316,2064-07-31
wheat,CC-model_CO2,2065,36,2065-05-01,86,11921,4172,2065-07-26
wheat,CC-model_CO2,2066,37,2066-05-01,88,12157,4255,2066-07-28
wheat,CC-model_CO2,2067,38,2067-05-01,88,12118,4241,2067-07-28
wheat,CC-model_CO2,2068,39,2068-04-30,88,11570,4050,2068-07-27
wheat,CC-model_CO2,2033,4,2033-05-01,91,11085,3880,2033-07-31
wheat,CC-model_CO2,2069,40,2069-05-01,86,11638,4073,2069-07-26
wheat,CC-model_CO2,2070,41,2070-05-01,85,11480,4018,2070-07-25
wheat,CC-model_CO2,2071,42,2071-05-01,86,11453,4009,2071-07-26
wheat,CC-model_CO2,2072,43,2072-04-30,93,12922,4523,2072-08-01
wheat,CC-model_CO2,2073,44,2073-05-01,83,11323,3963,2073-07-23
wheat,CC-model_CO2,2074,45,2074-05-01,86,11645,4076,2074-07-26
wheat,CC-model_CO2,2075,46,2075-05-01,88,13428,4700,2075-07-28
wheat,CC-model_CO2,2076,47,2076-04-30,91,12654,4429,2076-07-30
wheat,CC-model_CO2,2077,48,2077-05-01,87,12911,4519,2077-07-27
wheat,CC-model_CO2,2078,49,2078-05-01,90,14084,4929,2078-07-30
wheat,CC-model_CO2,2034,5,2034-05-01,93,10661,3731,2034-08-02
wheat,CC-model_CO2,2079,50,2079-05-01,85,11622,4068,2079-07-25
wheat,CC-model_CO2,2080,51,2080-04-30,92,12410,4344,2080-07-31
