"Crop","Exp","Label","Trt","Day","DATE","Tmax","Tmin","Radiation","TT","fSolar","Biomass","dBiomass","HI","Yield","F_Temp","F_Heat","F_Water","ARID","I50B","I50A","ETO","MaturityDay"
"wheat","CC-model_CO2","2030",1,1,2030-05-01,28,16,19.7,0,0.001,1,0.2638224,0.35,0.35,1,1,1,0,300,500,0,2030-08-05
"wheat","CC-model_CO2","2030",1,2,2030-05-02,29.4,17.7,19.4,22,0.00790978844351209,1.264,2.05500100460897,0.35,0.442,1,1,1,0,300,500,4.38145875071982,2030-08-05
"wheat","CC-model_CO2","2030",1,3,2030-05-03,27.2,18.7,16,45.55,0.00998808172002678,3.319,2.14016624631358,0.35,1.162,1,1,1,0,300,500,8.82183460240328,2030-08-05
"wheat","CC-model_CO2","2030",1,4,2030-05-04,28.2,18.1,18.4,68.5,0.012530729397236,5.459,3.08773211681525,0.35,1.911,1,1,1,0,300,500,12.4212825987937,2030-08-05
"wheat","CC-model_CO2","2030",1,5,2030-05-05,28.6,17.5,20.5,91.65,0.0157407666897268,8.547,4.32140712393084,0.35,2.991,1,1,1,0,300,500,16.5888707391598,2030-08-05
"wheat","CC-model_CO2","2030",1,6,2030-05-06,28.3,16.9,19.1,114.7,0.0197364645558458,12.868,5.04833500663903,0.35,4.504,1,1,1,0,300,500,21.2321075259807,2030-08-05
"wheat","CC-model_CO2","2030",1,7,2030-05-07,28.8,17.3,19,137.3,0.0246114960672888,17.916,6.26234595132949,0.35,6.271,1,1,1,0,300,500,25.5240657977562,2030-08-05
"wheat","CC-model_CO2","2030",1,8,2030-05-08,29.1,17.9,18.6,160.35,0.0307847761953929,24.179,7.66821684424186,0.35,8.463,1,1,1,0,300,500,29.8307916911646,2030-08-05
"wheat","CC-model_CO2","2030",1,9,2030-05-09,29.6,19.1,20.6,183.85,0.0386085034443897,31.847,10.6511286094217,0.35,11.146,1,1,1,0,300,500,34.0801343392897,2030-08-05
"wheat","CC-model_CO2","2030",1,10,2030-05-10,29.7,18.3,20.5,208.2,0.0487073531384237,42.498,13.3719219012103,0.35,14.874,1,1,1,0,300,500,38.8548566435924,2030-08-05
"wheat","CC-model_CO2","2030",1,11,2030-05-11,28.9,17.7,21.5,232.2,0.0610698711412506,55.87,17.583725857958,0.35,19.554,1,1,1,0,300,500,43.5836910987934,2030-08-05
